CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
12108288,02/19/2020 07:59:00 PM,02/20/2020 10:57:00 AM,02/20/2020 10:57:00 AM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,Intersection of POTOMAC ST and END (000 BLOCK OF),POTOMAC ST,8,Duboce Triangle,PARK,37.769326667429,-122.431590806981,"(37.76932667, -122.43159081)",Mobile/Open311,http://mobile311.sfgov.org/reports/12108288/photos
12043032,02/05/2020 01:33:00 PM,02/05/2020 02:14:00 PM,02/05/2020 02:14:00 PM,Closed,Comment Noted - park patrol supervisor advised of info.,RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Other,"McCoppin Square, , SAN FRANCISCO, CA, 94116",McCoppin Square,4,Parkside,TARAVAL,37.74362978,-122.47930348,"(37.74362978, -122.47930348)",Mobile/Open311,http://mobile311.sfgov.org/reports/12043032/photos
12043046,02/05/2020 01:36:00 PM,03/04/2020 02:42:44 PM,03/04/2020 02:42:44 PM,Closed,Case Resolved,RPD GGP Queue,Rec and Park Requests,Park - Park_Patrol,Other,Intersection of STOW LAKE DR and END (000 BLOCK OF),STOW LAKE DR,1,Golden Gate Park,RICHMOND,37.7717247,-122.47576904,"(37.7717247, -122.47576904)",Mobile/Open311,http://mobile311.sfgov.org/reports/12043046/photos
12108982,02/20/2020 06:56:24 AM,02/20/2020 03:54:00 PM,02/20/2020 03:54:00 PM,Closed,Case is a Duplicate,RPD NSA Queue,Rec and Park Requests,Park - Structural_Maintenance,Pavement,"660 GREAT HWY, SAN FRANCISCO, CA, 94121",GREAT HWY,1,Sutro Heights,RICHMOND,37.775195497525,-122.509965748874,"(37.7751955, -122.50996575)",Mobile/Open311,http://mobile311.sfgov.org/reports/12108982/photos
12109270,02/20/2020 07:57:20 AM,02/20/2020 03:54:00 PM,02/20/2020 03:54:00 PM,Closed,Comment Noted,RPD NSA Queue,Rec and Park Requests,Park - Park_Patrol,Other,"Mission Playground, , SAN FRANCISCO, CA, 94110",Mission Playground,8,Mission Dolores,MISSION,37.7598963,-122.4222861,"(37.7598963, -122.4222861)",Mobile/Open311,
12109328,02/20/2020 08:06:00 AM,02/20/2020 02:30:00 PM,02/20/2020 02:30:00 PM,Closed,Insufficient Information Provided - per DPT abandoned vehicles (which is where this should be relocated to) we need the closest address in order to process this request. please call 311 or put in an address for this report.,311 Supervisor Queue,Rec and Park Requests,Park - Park_Patrol,Park_Rules_Violation,"Adam Rodgers Park, , SAN FRANCISCO, CA, 94124",Adam Rodgers Park,10,Bayview,BAYVIEW,37.726013183594,-122.383588709399,"(37.72601318, -122.38358871)",Mobile/Open311,http://mobile311.sfgov.org/reports/12109328/photos
12109506,02/20/2020 08:32:00 AM,03/03/2020 08:00:49 AM,03/03/2020 08:00:49 AM,Closed,Case Resolved - The work was performed under work order #SMY-218219. The issue noted in the service request has been addressed.?Please open a new service request if you require further assistance.,RPD TMA Queue,Rec and Park Requests,Park - Structural_Maintenance,Recreation_Equipment,"Patricia's Green in Hayes Valley, , SAN FRANCISCO, CA, 94102",Patricia's Green in Hayes Valley,5,Hayes Valley,NORTHERN,37.77626571249,-122.424627402911,"(37.77626571, -122.4246274)",Mobile/Open311,http://mobile311.sfgov.org/reports/12109506/photos
12143638,02/27/2020 10:00:00 AM,03/04/2020 07:56:29 AM,03/04/2020 07:56:29 AM,Closed,"Case Resolved
The graffiti has been removed from this location.",RPD Park Service Area 4 Queue,Rec and Park Requests,Park - Park_Patrol,Other,"1001 LAKE MERCED BLVD, SAN FRANCISCO, CA, 94132",LAKE MERCED BLVD,7,Lakeshore,TARAVAL,37.71292833,-122.489495,"(37.71292833, -122.489495)",Mobile/Open311,http://mobile311.sfgov.org/reports/12143638/photos
12143641,02/27/2020 10:00:00 AM,03/04/2020 07:56:01 AM,03/04/2020 07:56:01 AM,Closed,"Case Resolved
The graffiti has been removed from this location.",RPD Park Service Area 4 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"1001 LAKE MERCED BLVD, SAN FRANCISCO, CA, 94132",LAKE MERCED BLVD,7,Lakeshore,TARAVAL,37.71293667,-122.48951667,"(37.71293667, -122.48951667)",Mobile/Open311,http://mobile311.sfgov.org/reports/12143641/photos
12144097,02/27/2020 10:59:00 AM,03/04/2020 07:55:25 AM,03/04/2020 07:55:25 AM,Closed,"Case Resolved
The graffiti has been removed from this location.",RPD Park Service Area 4 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Aptos Playground, , SAN FRANCISCO, CA, 94127",Aptos Playground,7,Balboa Terrace,TARAVAL,37.728523254395,-122.466537475586,"(37.72852325, -122.46653748)",Phone,
12145371,02/27/2020 01:47:00 PM,03/04/2020 02:25:13 PM,03/04/2020 02:25:13 PM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Potrero del Sol, , SAN FRANCISCO, CA, 94110",Potrero del Sol,10,Potrero Hill,MISSION,37.75077057,-122.4048996,"(37.75077057, -122.4048996)",Mobile/Open311,http://mobile311.sfgov.org/reports/12145371/photos
12147946,02/28/2020 07:19:00 AM,03/04/2020 01:09:39 PM,03/04/2020 01:09:39 PM,Closed,"Case Resolved
Graffiti has been abated.",RPD Park Service Area 5 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"Peixotto Playground, , SAN FRANCISCO, CA, 94114",Peixotto Playground,8,Corona Heights,PARK,37.765900193025,-122.438370451869,"(37.76590019, -122.43837045)",Mobile/Open311,http://mobile311.sfgov.org/reports/12147946/photos
12111080,02/20/2020 12:07:00 PM,03/13/2020 10:04:14 AM,03/13/2020 10:04:14 AM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Potrero del Sol, , SAN FRANCISCO, CA, 94110",Potrero del Sol,10,Potrero Hill,MISSION,37.75070502,-122.40506295,"(37.75070502, -122.40506295)",Mobile/Open311,http://mobile311.sfgov.org/reports/12111080/photos
12153545,02/29/2020 08:56:00 AM,03/04/2020 02:26:35 PM,03/04/2020 02:26:35 PM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"James Rolph Jr. Playground, , SAN FRANCISCO, CA, 94110",James Rolph Jr. Playground,9,Mission,MISSION,37.74976233,-122.40618378,"(37.74976233, -122.40618378)",Mobile/Open311,http://mobile311.sfgov.org/reports/12153545/photos
12154158,02/29/2020 11:12:00 AM,03/04/2020 07:42:18 AM,03/04/2020 07:42:18 AM,Closed,"Case Resolved
The graffiti has been removed from this location.",RPD Park Service Area 4 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"1001 LAKE MERCED BLVD, SAN FRANCISCO, CA, 94132",LAKE MERCED BLVD,7,Lakeshore,TARAVAL,37.712908163702,-122.48701365676,"(37.71290816, -122.48701366)",Mobile/Open311,http://mobile311.sfgov.org/reports/12154158/photos
12112930,02/20/2020 05:00:13 PM,02/20/2020 05:57:00 PM,02/20/2020 05:57:00 PM,Closed,Case is a Duplicate,RPD NSA Queue,Rec and Park Requests,Park - Park_Patrol,Park_Rules_Violation,"Louis Sutter Playground, , SAN FRANCISCO, CA, 94134",Louis Sutter Playground,10,McLaren Park,BAYVIEW,37.7222429,-122.4140143,"(37.7222429, -122.4140143)",Web,
12112902,02/20/2020 04:53:00 PM,03/09/2020 03:23:33 PM,03/09/2020 03:23:33 PM,Closed,Comment Noted - Work Order submitted for this issue (SMY 218908).,RPD Park Service Area 1 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"300 34TH AVE, SAN FRANCISCO, CA, 94121",34TH AVE,1,Lincoln Park / Ft. Miley,RICHMOND,37.781664804423,-122.494552087992,"(37.7816648, -122.49455209)",Mobile/Open311,
12113084,02/20/2020 05:40:00 PM,02/20/2020 05:43:00 PM,02/20/2020 05:43:00 PM,Closed,Case is a Duplicate,RPD NSA Queue,Rec and Park Requests,Park - Park_Patrol,Park_Rules_Violation,"John McLaren Park, , SAN FRANCISCO, CA, 94134",John McLaren Park,10,McLaren Park,INGLESIDE,37.718082427979,-122.419075012207,"(37.71808243, -122.41907501)",Phone,
12113165,02/20/2020 05:59:00 PM,02/21/2020 09:55:00 PM,02/21/2020 09:55:00 PM,Closed,Case Resolved,RPD NSA Queue,Rec and Park Requests,Park - Structural_Maintenance,Pavement,"648 GREAT HWY, SAN FRANCISCO, CA, 94121",GREAT HWY,1,Sutro Heights,RICHMOND,37.777087826925,-122.512525820985,"(37.77708783, -122.51252582)",Mobile/Open311,http://mobile311.sfgov.org/reports/12113165/photos
12113549,02/20/2020 08:14:00 PM,,02/20/2020 09:11:58 PM,Open,N/A,RPD Leisure Services Queue,Rec and Park Requests,Park - Park_Patrol,Other,"50 SERGEANT JOHN V YOUNG ST, SAN FRANCISCO, CA, 94112",SERGEANT JOHN V YOUNG ST,11,Mission Terrace,INGLESIDE,37.726459732811,-122.442976322937,"(37.72645973, -122.44297632)",Web,
12113568,02/20/2020 08:21:00 PM,,02/21/2020 03:39:42 PM,Open,N/A,RPD TMA Queue,Rec and Park Requests,Park - Structural_Maintenance,Building,"Sunnyside Playground, , SAN FRANCISCO, CA, 94127",Sunnyside Playground,7,Sunnyside,INGLESIDE,37.733665466309,-122.447479248047,"(37.73366547, -122.44747925)",Phone,
12048665,02/06/2020 03:52:00 PM,02/24/2020 01:00:27 PM,02/24/2020 01:00:27 PM,Closed,Case Resolved,RPD GGP Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,Intersection of WALLER ST and KEZAR DR,WALLER ST,5,Golden Gate Park,PARK,37.768441887184,-122.45490141695,"(37.76844189, -122.45490142)",Web,
12054119,02/07/2020 04:21:00 PM,03/04/2020 02:46:03 PM,03/04/2020 02:46:03 PM,Closed,Case Resolved,RPD GGP Queue,Rec and Park Requests,Park - Park_Patrol,Other,"100 JOHN F KENNEDY DR, SAN FRANCISCO, CA, 94117",JOHN F KENNEDY DR,1,Golden Gate Park,PARK,37.771052029068,-122.456791174564,"(37.77105203, -122.45679117)",Mobile/Open311,
12054322,02/07/2020 04:59:00 PM,02/21/2020 09:40:47 AM,02/21/2020 09:40:47 AM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Juri Commons, , SAN FRANCISCO, CA, 94110",Juri Commons,9,Mission,MISSION,37.749504089355,-122.421989440918,"(37.74950409, -122.42198944)",Twitter,
12070330,02/11/2020 12:17:00 PM,,03/17/2020 08:02:50 AM,Open,N/A,RPD Park Service Area 1 Queue,Rec and Park Requests,Park - Structural_Maintenance,Recreation_Equipment,"Moscone Recreation Center, 1800 CHESTNUT ST, SAN FRANCISCO, CA, 94123",CHESTNUT ST,2,Marina,NORTHERN,37.8015646,-122.4316825,"(37.8015646, -122.4316825)",Web,
12072611,02/11/2020 07:40:00 PM,,02/11/2020 09:16:45 PM,Open,N/A,RPD Park Service Area 2 Queue,Rec and Park Requests,Park - Structural_Maintenance,Pavement,"Jefferson Square, , SAN FRANCISCO, CA, 94102",Jefferson Square,6,Cathedral Hill,NORTHERN,37.7817433,-122.4256958,"(37.7817433, -122.4256958)",Web,
12144107,02/27/2020 11:01:00 AM,03/02/2020 11:38:42 AM,03/02/2020 11:38:42 AM,Closed,"Case Resolved
This is not a request for action.",RPD Natural Areas Queue,Rec and Park Requests,Park - Park_Patrol,Other,"5 MARTHA AVE, SAN FRANCISCO, CA, 94131",MARTHA AVE,8,Sunnyside,INGLESIDE,37.7332518,-122.4396242,"(37.7332518, -122.4396242)",Web,
12074443,02/12/2020 09:58:00 AM,03/18/2020 01:41:00 PM,03/18/2020 01:41:00 PM,Closed,Case Resolved - Closed on 2/12/20 under work order SMY-217713.,RPD TMA Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Buena Vista Park, , SAN FRANCISCO, CA, 94117",Buena Vista Park,8,Buena Vista,PARK,37.77029167,-122.44209167,"(37.77029167, -122.44209167)",Mobile/Open311,http://mobile311.sfgov.org/reports/12074443/photos
12145607,02/27/2020 02:25:00 PM,03/04/2020 03:00:34 PM,03/04/2020 03:00:34 PM,Closed,Case Resolved,RPD GGP Queue,Rec and Park Requests,Park - Park_Patrol,Other,"GGP Shakespeare Garden, , SAN FRANCISCO, CA, 94122",GGP Shakespeare Garden,1,Golden Gate Park,RICHMOND,37.768810272217,-122.466934204102,"(37.76881027, -122.4669342)",Phone,
12075395,02/12/2020 12:09:00 PM,02/14/2020 09:57:21 AM,02/14/2020 09:57:21 AM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"Potrero del Sol, , SAN FRANCISCO, CA, 94110",Potrero del Sol,10,Potrero Hill,MISSION,37.75058334,-122.40474276,"(37.75058334, -122.40474276)",Mobile/Open311,http://mobile311.sfgov.org/reports/12075395/photos
12076810,02/12/2020 03:49:00 PM,03/05/2020 08:48:25 AM,03/05/2020 08:48:25 AM,Closed,Comment Noted - Work Order submitted for this issue (SMY 218760).,RPD Park Service Area 1 Queue,Rec and Park Requests,Park - Structural_Maintenance,Recreation_Equipment,"300 34TH AVE, SAN FRANCISCO, CA, 94121",34TH AVE,1,Lincoln Park / Ft. Miley,RICHMOND,37.7814721,-122.4933661,"(37.7814721, -122.4933661)",Web,http://mobile311.sfgov.org/reports/12076810/photos
12135327,02/25/2020 04:01:00 PM,03/05/2020 08:46:25 AM,03/05/2020 08:46:25 AM,Closed,Comment Noted - Work Order submitted for this issue (SMY 218756).,RPD Park Service Area 1 Queue,Rec and Park Requests,Park - Structural_Maintenance,Restroom,"Moscone Recreation Center, 1800 CHESTNUT ST, SAN FRANCISCO, CA, 94123",CHESTNUT ST,2,Marina,NORTHERN,37.802124023438,-122.433135986328,"(37.80212402, -122.43313599)",Twitter,
12149969,02/28/2020 12:02:00 PM,03/05/2020 09:44:52 AM,03/05/2020 09:44:52 AM,Closed,"Case Resolved
The exercise equipment has been repaired at this location.",RPD Park Service Area 4 Queue,Rec and Park Requests,Park - Structural_Maintenance,Recreation_Equipment,"154 LAKE MERCED BLVD, SAN FRANCISCO, CA, 94132",LAKE MERCED BLVD,7,Lakeshore,TARAVAL,37.730764265899,-122.498032941405,"(37.73076427, -122.49803294)",Mobile/Open311,http://mobile311.sfgov.org/reports/12149969/photos
12150561,02/28/2020 01:26:00 PM,03/05/2020 08:06:15 AM,03/05/2020 08:06:15 AM,Closed,"Case Resolved
Bike frame was removed.",RPD GGP Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"GGP South Lake, , SAN FRANCISCO, CA, 94122",GGP South Lake,1,Golden Gate Park,RICHMOND,37.76495332097,-122.500205703772,"(37.76495332, -122.5002057)",Mobile/Open311,
12086558,02/14/2020 04:53:00 PM,02/21/2020 08:00:20 AM,02/21/2020 08:00:20 AM,Closed,Case Resolved - The work was performed under work order #SMY-218071. The issue noted in the service request has been addressed.?Please open a new service request if you require further assistance.,RPD Park Service Area 4 Queue,Rec and Park Requests,Park - Structural_Maintenance,Recreation_Equipment,"2602 41ST AVE, SAN FRANCISCO, CA, 94116",41ST AVE,4,Parkside,TARAVAL,37.737865,-122.498502,"(37.737865, -122.498502)",Web,http://mobile311.sfgov.org/reports/12086558/photos
12096986,02/17/2020 05:37:00 PM,02/24/2020 01:05:36 PM,02/24/2020 01:05:36 PM,Closed,Case Resolved,RPD GGP Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"GGP Panhandle, , SAN FRANCISCO, CA, 94117",GGP Panhandle,5,Panhandle,PARK,37.772405971808,-122.448138641308,"(37.77240597, -122.44813864)",Mobile/Open311,http://mobile311.sfgov.org/reports/12096986/photos
12098081,02/18/2020 07:01:00 AM,02/21/2020 03:43:32 PM,02/21/2020 03:43:32 PM,Closed,"Case Resolved
Trash can has been emptied by Recology.",RPD Park Service Area 5 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"Corona Heights, , SAN FRANCISCO, CA, 94114",Corona Heights,8,Corona Heights,PARK,37.765260147897,-122.441054172928,"(37.76526015, -122.44105417)",Mobile/Open311,http://mobile311.sfgov.org/reports/12098081/photos
12105985,02/19/2020 12:46:00 PM,02/21/2020 09:11:23 AM,02/21/2020 09:11:23 AM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Potrero del Sol, , SAN FRANCISCO, CA, 94110",Potrero del Sol,10,Potrero Hill,MISSION,37.75091736,-122.40538582,"(37.75091736, -122.40538582)",Mobile/Open311,http://mobile311.sfgov.org/reports/12105985/photos
12024374,02/01/2020 11:11:00 AM,02/06/2020 10:48:52 PM,02/06/2020 10:48:52 PM,Closed,"Case Resolved
Thank you for your comments. The field goes under its annual turf repair in March. There is appropriate signage regarding off leash dog activity. Rangers make efforts to enforce but many times the offenders have left the facility before Rangers are able to get to the site. Thank you for your patience.",RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Park_Patrol,Other,"Mission Playground, , SAN FRANCISCO, CA, 94110",Mission Playground,8,Mission Dolores,MISSION,37.7596362,-122.4225828,"(37.7596362, -122.4225828)",Mobile/Open311,http://mobile311.sfgov.org/reports/12024374/photos
12108887,02/20/2020 06:18:00 AM,02/21/2020 03:11:54 PM,02/21/2020 03:11:54 PM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Irrigation,"Duboce Park, , SAN FRANCISCO, CA, 94117",Duboce Park,8,Duboce Triangle,PARK,37.769505,-122.4336,"(37.769505, -122.4336)",Mobile/Open311,http://mobile311.sfgov.org/reports/12108887/photos
12110951,02/20/2020 11:51:00 AM,02/21/2020 08:49:44 AM,02/21/2020 08:49:44 AM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Potrero del Sol, , SAN FRANCISCO, CA, 94110",Potrero del Sol,10,Potrero Hill,MISSION,37.7507538,-122.40470488,"(37.7507538, -122.40470488)",Mobile/Open311,http://mobile311.sfgov.org/reports/12110951/photos
12036249,02/04/2020 09:15:00 AM,,03/05/2020 03:07:48 PM,Open,N/A,RPD Park Service Area 4 Queue,Rec and Park Requests,Park - Structural_Maintenance,Other,"Sunset Playground, 2201 LAWTON ST, SAN FRANCISCO, CA, 94122",LAWTON ST,4,Outer Sunset,TARAVAL,37.756587982178,-122.486846923828,"(37.75658798, -122.48684692)",Phone,
12038774,02/04/2020 03:08:00 PM,02/06/2020 07:55:30 AM,02/06/2020 07:55:30 AM,Closed,"Case Resolved
The restrooms were open right after this request.",RPD Park Service Area 4 Queue,Rec and Park Requests,Park - Park_Patrol,Lock_Out_Restroom,"West Sunset Playground, , SAN FRANCISCO, CA, 94116",West Sunset Playground,4,Outer Sunset,TARAVAL,37.748996734619,-122.498008728027,"(37.74899673, -122.49800873)",Phone,
12039099,02/04/2020 03:59:00 PM,02/06/2020 10:15:57 AM,02/06/2020 10:15:57 AM,Closed,Case Resolved,DPW Ops Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"101 BUENA VISTA AVE EAST, SAN FRANCISCO, CA, 94117",BUENA VISTA AVE EAST,8,Buena Vista,PARK,37.770106145216,-122.438859874497,"(37.77010615, -122.43885987)",Mobile/Open311,http://mobile311.sfgov.org/reports/12039099/photos
12114158,02/21/2020 06:48:00 AM,02/21/2020 03:43:00 PM,02/21/2020 03:43:00 PM,Closed,Unable to Locate - Person was GOA,RPD NSA Queue,Rec and Park Requests,Park - Park_Patrol,Park_Rules_Violation,"Lafayette Park, , SAN FRANCISCO, CA, 94109",Lafayette Park,2,Pacific Heights,NORTHERN,37.791549682617,-122.427673339844,"(37.79154968, -122.42767334)",Phone,
12044548,02/05/2020 06:43:00 PM,02/24/2020 12:59:58 PM,02/24/2020 12:59:58 PM,Closed,Case Resolved,RPD GGP Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"GGP Haight St Entrance, , SAN FRANCISCO, CA, 94122",GGP Haight St Entrance,1,Golden Gate Park,PARK,37.76888333,-122.45361333,"(37.76888333, -122.45361333)",Mobile/Open311,http://mobile311.sfgov.org/reports/12044548/photos
12115094,02/21/2020 09:22:30 AM,02/21/2020 03:01:00 PM,02/21/2020 03:01:00 PM,Closed,"Case Resolved - Per PSA manager:  Play structure has been cordoned off, will be cleaned and sanitized later today",RPD NSA Queue,Rec and Park Requests,Park - Structural_Maintenance,Recreation_Equipment,"Franklin Square, , SAN FRANCISCO, CA, 94110",Franklin Square,6,Mission,MISSION,37.76444626,-122.40888977,"(37.76444626, -122.40888977)",Mobile/Open311,http://mobile311.sfgov.org/reports/12115094/photos
12116172,02/21/2020 11:50:00 AM,,02/21/2020 02:50:02 PM,Open,N/A,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Other,"Mission Playground, , SAN FRANCISCO, CA, 94110",Mission Playground,8,Mission Dolores,MISSION,37.759292602539,-122.422302246094,"(37.7592926, -122.42230225)",Phone,
12116210,02/21/2020 11:57:00 AM,03/04/2020 02:22:52 PM,03/04/2020 02:22:52 PM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Potrero del Sol, , SAN FRANCISCO, CA, 94110",Potrero del Sol,10,Potrero Hill,MISSION,37.75082485,-122.40541633,"(37.75082485, -122.40541633)",Mobile/Open311,http://mobile311.sfgov.org/reports/12116210/photos
12116228,02/21/2020 11:59:00 AM,,02/21/2020 02:48:58 PM,Open,N/A,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"Potrero del Sol, , SAN FRANCISCO, CA, 94110",Potrero del Sol,10,Potrero Hill,MISSION,37.75091339,-122.40542337,"(37.75091339, -122.40542337)",Mobile/Open311,http://mobile311.sfgov.org/reports/12116228/photos
12116245,02/21/2020 12:01:00 PM,03/13/2020 10:07:11 AM,03/13/2020 10:07:11 AM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Irrigation,"Potrero del Sol, , SAN FRANCISCO, CA, 94110",Potrero del Sol,10,Potrero Hill,MISSION,37.75073683,-122.40551457,"(37.75073683, -122.40551457)",Mobile/Open311,http://mobile311.sfgov.org/reports/12116245/photos
12048521,02/06/2020 03:23:00 PM,02/27/2020 01:51:00 PM,02/27/2020 01:51:00 PM,Closed,Case Resolved - Courtesy letter sent to DPW 2/27/2020 ES,PUC - Water Waste - Water Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Irrigation,Intersection of ENTRADA CT and BORICA ST,ENTRADA CT,7,Ingleside Terraces,TARAVAL,37.723834991455,-122.467544555664,"(37.72383499, -122.46754456)",Phone,
